iter	MultiClass
0	1.371010091
1	1.356858073
2	1.343222982
3	1.33024528
4	1.318547445
5	1.307951904
6	1.297510661
7	1.288107259
8	1.279009766
9	1.270381266
10	1.26243514
11	1.254981852
12	1.247652751
13	1.240890299
14	1.235415283
15	1.22955485
16	1.223839193
17	1.218154053
18	1.21308252
19	1.208154704
20	1.203771891
21	1.199554932
22	1.195645426
23	1.191300618
24	1.187698812
25	1.183697347
26	1.180183919
27	1.176505371
28	1.173367025
29	1.170308024
30	1.167262288
31	1.164471924
32	1.161646647
33	1.159094076
34	1.15646403
35	1.154013753
36	1.151684652
37	1.149297526
38	1.147112142
39	1.145106852
40	1.14303597
41	1.14099528
42	1.139122803
43	1.137303548
44	1.135419596
45	1.133686442
46	1.132137126
47	1.130466227
48	1.129069824
49	1.127527913
50	1.125998454
51	1.12464502
52	1.123360921
53	1.121926514
54	1.120687419
55	1.119429118
56	1.118227702
57	1.116987305
58	1.115965332
59	1.114950114
60	1.113846436
61	1.112799398
62	1.111811035
63	1.110641602
64	1.109687907
65	1.108778809
66	1.107870931
67	1.106891439
68	1.105819906
69	1.105041911
70	1.104230632
71	1.103413167
72	1.102674154
73	1.101815104
74	1.10107666
75	1.100475911
76	1.099727539
77	1.098972819
78	1.098230794
79	1.097649089
80	1.096832275
81	1.096187419
82	1.095750814
83	1.095104085
84	1.094559489
85	1.094064046
86	1.09335376
87	1.092966715
88	1.092408691
89	1.092025879
90	1.091683431
91	1.091213542
92	1.090449056
93	1.09004598
94	1.089650879
95	1.089089681
96	1.08857723
97	1.088167806
98	1.087741699
99	1.087306966
100	1.086769043
101	1.08637443
102	1.085803385
103	1.08547168
104	1.085176921
105	1.084871989
106	1.084483073
107	1.083924642
108	1.083712321
109	1.083534912
110	1.083262858
111	1.082938151
112	1.082655924
113	1.082244954
114	1.081709066
115	1.081391032
116	1.081180176
117	1.080878581
118	1.080589355
119	1.080172526
120	1.079811768
121	1.079413167
122	1.078996175
123	1.07882902
124	1.078479329
