iter	Passed	Remaining
0	12	12679
1	25	12803
2	36	12073
3	47	11772
4	57	11456
5	71	11799
6	83	11820
7	93	11627
8	105	11565
9	115	11442
10	127	11501
11	138	11424
12	148	11299
13	158	11184
14	169	11120
15	180	11093
16	191	11048
17	203	11093
18	213	11019
19	225	11061
20	238	11097
21	249	11069
22	261	11109
23	272	11061
24	282	11024
25	293	11013
26	304	10960
27	314	10918
28	324	10877
29	335	10857
30	345	10809
31	355	10760
32	367	10773
33	378	10743
34	388	10703
35	398	10670
36	409	10653
37	419	10612
38	430	10610
39	441	10602
40	452	10573
41	463	10583
42	476	10597
43	486	10567
44	498	10575
45	511	10600
46	521	10574
47	535	10611
48	545	10594
49	556	10572
50	566	10537
51	576	10511
52	588	10521
53	599	10497
54	612	10516
55	622	10493
56	633	10478
57	646	10492
58	659	10511
59	670	10502
60	683	10519
61	694	10511
62	708	10535
63	719	10519
64	730	10511
65	744	10534
66	755	10519
67	765	10495
68	778	10499
69	788	10477
70	800	10476
71	810	10449
72	822	10440
73	832	10420
74	844	10412
75	856	10408
76	867	10397
77	879	10397
78	891	10394
79	903	10391
80	914	10373
81	927	10380
82	938	10369
83	948	10345
84	961	10348
85	971	10326
86	982	10311
87	992	10284
88	1002	10264
89	1013	10248
90	1024	10231
91	1034	10208
92	1044	10185
93	1055	10177
94	1065	10155
95	1077	10149
96	1089	10144
97	1102	10148
98	1113	10135
99	1126	10139
100	1139	10141
101	1150	10131
102	1161	10117
103	1172	10104
104	1182	10081
105	1192	10058
106	1202	10036
107	1212	10014
108	1222	9993
109	1232	9976
110	1242	9953
111	1252	9930
112	1262	9909
113	1273	9896
114	1284	9885
115	1294	9865
116	1306	9861
117	1319	9860
118	1329	9840
119	1340	9832
120	1352	9822
121	1363	9811
122	1374	9799
123	1384	9779
124	1394	9760
125	1405	9749
126	1415	9729
127	1425	9712
128	1435	9695
129	1446	9682
130	1459	9678
131	1469	9661
132	1479	9647
133	1493	9651
134	1508	9662
135	1521	9662
136	1532	9652
137	1542	9635
138	1555	9637
139	1572	9657
140	1583	9647
141	1594	9636
142	1605	9622
143	1616	9609
144	1627	9595
145	1641	9601
146	1657	9619
147	1676	9648
148	1691	9660
149	1706	9670
150	1720	9671
151	1733	9671
152	1745	9661
153	1756	9648
154	1767	9637
155	1778	9622
156	1789	9608
157	1800	9594
158	1811	9581
159	1822	9569
160	1833	9553
161	1843	9535
162	1853	9519
163	1865	9506
164	1876	9494
165	1888	9488
166	1899	9475
167	1910	9463
168	1921	9449
169	1933	9440
170	1946	9435
171	1958	9426
172	1971	9425
173	1989	9444
174	2003	9443
175	2017	9443
176	2028	9433
177	2045	9443
178	2057	9436
179	2069	9426
180	2081	9418
181	2094	9412
182	2106	9405
183	2117	9390
184	2129	9379
185	2142	9374
186	2153	9361
187	2163	9346
188	2174	9329
189	2184	9311
190	2194	9296
191	2205	9280
192	2215	9263
193	2226	9250
194	2237	9236
195	2248	9223
196	2259	9211
197	2272	9203
198	2283	9191
199	2295	9182
200	2307	9172
201	2318	9157
202	2332	9156
203	2345	9151
204	2358	9148
205	2370	9137
206	2383	9131
207	2395	9122
208	2408	9114
209	2419	9100
210	2429	9084
211	2440	9072
212	2451	9057
213	2461	9042
214	2472	9026
215	2484	9016
216	2495	9005
217	2507	8995
218	2519	8986
219	2531	8974
220	2544	8967
221	2557	8963
222	2572	8964
223	2588	8965
224	2598	8951
225	2611	8943
226	2622	8928
227	2635	8925
228	2648	8915
229	2660	8906
230	2670	8888
231	2680	8872
232	2691	8859
233	2701	8843
234	2714	8837
235	2726	8825
236	2738	8817
237	2749	8804
238	2760	8789
239	2773	8783
240	2785	8772
241	2795	8754
242	2806	8742
243	2817	8728
244	2826	8711
245	2837	8696
246	2848	8684
247	2859	8669
248	2869	8655
249	2884	8652
250	2894	8637
251	2904	8622
252	2917	8615
253	2929	8603
254	2939	8588
255	2951	8578
256	2963	8568
257	2974	8555
258	2988	8550
259	3000	8540
260	3012	8528
261	3021	8511
262	3033	8500
263	3045	8491
264	3056	8476
265	3066	8462
266	3077	8448
267	3087	8433
268	3098	8420
269	3110	8409
270	3123	8403
271	3136	8393
272	3148	8383
273	3160	8375
274	3173	8365
275	3185	8355
276	3199	8350
277	3211	8339
278	3220	8323
279	3232	8310
280	3242	8296
281	3252	8280
282	3262	8266
283	3273	8252
284	3285	8243
285	3299	8236
286	3309	8221
287	3320	8208
288	3332	8199
289	3344	8187
290	3354	8172
291	3368	8167
292	3379	8154
293	3390	8141
294	3402	8130
295	3414	8120
296	3425	8107
297	3435	8093
298	3446	8079
299	3456	8065
300	3466	8050
301	3477	8036
302	3488	8023
303	3501	8017
304	3512	8003
305	3524	7993
306	3534	7978
307	3546	7969
308	3560	7963
309	3574	7956
310	3585	7943
311	3597	7932
312	3610	7924
313	3622	7913
314	3632	7899
315	3642	7885
316	3653	7871
317	3663	7857
318	3674	7844
319	3685	7831
320	3696	7818
321	3709	7810
322	3720	7799
323	3731	7786
324	3744	7777
325	3756	7765
326	3770	7759
327	3780	7745
328	3792	7735
329	3805	7725
330	3815	7710
331	3827	7700
332	3838	7687
333	3848	7674
334	3859	7660
335	3869	7647
336	3880	7634
337	3892	7624
338	3903	7610
339	3913	7596
340	3926	7589
341	3940	7582
342	3951	7569
343	3962	7556
344	3974	7546
345	3987	7537
346	3998	7524
347	4010	7514
348	4022	7502
349	4032	7488
350	4043	7476
351	4055	7465
352	4066	7452
353	4076	7439
354	4086	7425
355	4098	7413
356	4109	7400
357	4119	7388
358	4131	7377
359	4142	7364
360	4153	7352
361	4165	7341
362	4176	7328
363	4191	7322
364	4203	7312
365	4213	7298
366	4224	7286
367	4235	7273
368	4245	7260
369	4258	7250
370	4269	7237
371	4279	7224
372	4290	7211
373	4300	7198
374	4311	7186
375	4324	7177
376	4336	7165
377	4350	7158
378	4360	7144
379	4372	7133
380	4383	7122
381	4396	7111
382	4406	7098
383	4418	7088
384	4429	7075
385	4440	7063
386	4451	7051
387	4463	7039
388	4475	7028
389	4486	7016
390	4499	7008
391	4512	6998
392	4524	6988
393	4537	6978
394	4550	6969
395	4561	6956
396	4573	6946
397	4586	6936
398	4597	6925
399	4609	6913
400	4619	6900
401	4631	6889
402	4641	6875
403	4653	6864
404	4664	6852
405	4674	6838
406	4685	6827
407	4696	6814
408	4707	6802
409	4721	6794
410	4732	6782
411	4745	6772
412	4758	6763
413	4769	6750
414	4782	6742
415	4795	6732
416	4807	6721
417	4820	6711
418	4834	6703
419	4846	6692
420	4857	6680
421	4868	6668
422	4879	6655
423	4890	6643
424	4901	6631
425	4913	6620
426	4924	6608
427	4936	6597
428	4948	6586
429	4960	6575
430	4971	6562
431	4982	6550
432	4993	6538
433	5004	6526
434	5018	6518
435	5030	6506
436	5043	6497
437	5056	6487
438	5067	6475
439	5080	6466
440	5094	6457
441	5106	6446
442	5117	6434
443	5132	6426
444	5143	6415
445	5155	6403
446	5166	6391
447	5177	6379
448	5188	6367
449	5199	6354
450	5210	6342
451	5223	6333
452	5237	6324
453	5251	6315
454	5263	6304
455	5274	6292
456	5285	6280
457	5295	6267
458	5309	6258
459	5321	6247
460	5332	6234
461	5343	6222
462	5354	6209
463	5366	6198
464	5377	6187
465	5389	6175
466	5399	6162
467	5411	6151
468	5423	6140
469	5435	6128
470	5448	6119
471	5461	6109
472	5473	6098
473	5485	6087
474	5495	6074
475	5507	6062
476	5519	6052
477	5530	6039
478	5541	6027
479	5554	6017
480	5565	6004
481	5574	5991
482	5585	5978
483	5597	5967
484	5607	5954
485	5619	5943
486	5630	5931
487	5641	5919
488	5656	5910
489	5669	5900
490	5681	5889
491	5692	5878
492	5705	5867
493	5718	5857
494	5728	5844
495	5739	5832
496	5750	5819
497	5760	5806
498	5771	5794
499	5781	5781
500	5791	5768
501	5802	5756
502	5814	5745
503	5824	5731
504	5836	5720
505	5847	5708
506	5857	5696
507	5869	5684
508	5881	5673
509	5891	5660
510	5903	5649
511	5917	5639
512	5928	5627
513	5938	5614
514	5949	5603
515	5960	5590
516	5972	5579
517	5983	5567
518	5995	5556
519	6005	5543
520	6017	5532
521	6028	5520
522	6039	5507
523	6052	5498
524	6064	5487
525	6077	5476
526	6089	5465
527	6102	5455
528	6115	5444
529	6126	5432
530	6136	5420
531	6147	5407
532	6157	5394
533	6167	5382
534	6181	5372
535	6194	5362
536	6204	5349
537	6215	5337
538	6226	5325
539	6237	5313
540	6250	5303
541	6262	5291
542	6275	5281
543	6286	5269
544	6297	5257
545	6311	5247
546	6323	5236
547	6334	5224
548	6345	5212
549	6355	5200
550	6365	5187
551	6375	5174
552	6386	5162
553	6397	5149
554	6407	5137
555	6417	5124
556	6428	5113
557	6441	5102
558	6453	5091
559	6465	5079
560	6476	5068
561	6489	5057
562	6500	5045
563	6512	5034
564	6524	5023
565	6535	5011
566	6547	4999
567	6557	4987
568	6567	4975
569	6578	4962
570	6589	4950
571	6599	4937
572	6610	4926
573	6621	4914
574	6631	4901
575	6642	4889
576	6654	4878
577	6665	4866
578	6677	4855
579	6689	4844
580	6701	4832
581	6712	4821
582	6726	4811
583	6739	4800
584	6750	4789
585	6762	4777
586	6772	4765
587	6782	4752
588	6795	4741
589	6806	4729
590	6817	4718
591	6828	4706
592	6840	4694
593	6852	4683
594	6863	4671
595	6875	4660
596	6887	4649
597	6902	4640
598	6919	4632
599	6937	4624
600	6952	4615
601	6969	4607
602	6984	4598
603	6996	4586
604	7007	4575
605	7017	4562
606	7028	4550
607	7039	4538
608	7054	4528
609	7066	4517
610	7079	4506
611	7093	4497
612	7106	4486
613	7119	4475
614	7135	4466
615	7148	4456
616	7158	4443
617	7170	4431
618	7180	4419
619	7191	4407
620	7202	4395
621	7213	4383
622	7225	4372
623	7236	4360
624	7249	4349
625	7260	4337
626	7274	4327
627	7287	4316
628	7299	4305
629	7313	4295
630	7325	4283
631	7338	4272
632	7353	4263
633	7364	4251
634	7373	4238
635	7385	4227
636	7397	4215
637	7408	4203
638	7420	4192
639	7430	4179
640	7442	4168
641	7453	4156
642	7465	4144
643	7476	4132
644	7486	4120
645	7499	4109
646	7512	4098
647	7523	4087
648	7535	4075
649	7547	4064
650	7560	4052
651	7570	4040
652	7580	4028
653	7590	4015
654	7601	4003
655	7612	3991
656	7623	3980
657	7634	3967
658	7645	3956
659	7655	3943
660	7667	3932
661	7679	3920
662	7692	3909
663	7703	3898
664	7716	3887
665	7731	3877
666	7742	3865
667	7755	3854
668	7768	3843
669	7781	3832
670	7792	3820
671	7803	3808
672	7814	3797
673	7825	3784
674	7836	3772
