Parameter1,Parameter2,Parameter3,Quality_label
0.000421253,0.000612033,1.010384969,Pass
0.000909187,0.002397012,1.010384969,Fail
0.000909187,0.00197229,1.010384969,Fail
0.000909187,0.002397012,1.010384969,Fail
0.000909187,0.002397012,1.010384969,Fail
0.000524811,0.001622824,1.010384969,Good
1.600654212,0.464037172,0.010191934,Good
1.434060443,0.314162296,0.010191934,Good
1.434060443,0.258496524,0.010191934,Pass
1.284805512,0.175007232,0.010191934,Good
1.600654212,0.685411649,0.010191934,Pass
1.600654212,0.685411649,0.010191934,Good
1.600654212,0.685411649,0.010191934,Excellent
1.786601059,0.833011192,0.010191934,Pass
1.600654212,0.464037172,0.010191934,Good
2.225808096,1.230409133,0.052625471,Good
1.284805512,3.965022677,0.052625471,Fail
2.225808096,1.230409133,0.052625471,Fail
3.45468122,1.230409133,0.377331664,Excellent
3.85600905,5.856584117,0.377331664,Excellent
3.85600905,5.856584117,0.377331664,Excellent
5.362017666,3.965022677,0.377331664,Good
5.984919397,2.684398366,0.377331664,Excellent
4.303958845,2.684398366,0.377331664,Pass
5.362017666,7.117766557,0.377331664,Excellent
5.362017666,7.117766557,0.377331664,Pass
3.095123009,1.495370817,0.377331664,Excellent
3.095123009,1.495370817,0.377331664,Good
3.095123009,1.81739051,0.377331664,Excellent
3.095123009,2.208755332,0.377331664,Excellent
3.45468122,2.684398366,0.377331664,Pass
3.45468122,2.684398366,0.377331664,Excellent
3.45468122,4.818868004,0.377331664,Excellent
3.45468122,3.262468451,0.377331664,Good
3.45468122,4.818868004,0.377331664,Excellent
5.362017666,5.856584117,0.377331664,Excellent
3.45468122,1.81739051,0.377331664,Pass
3.45468122,1.81739051,0.377331664,Pass
3.45468122,1.495370817,0.377331664,Excellent
3.85600905,3.965022677,0.377331664,Excellent
3.85600905,3.965022677,0.377331664,Pass
3.85600905,3.965022677,0.377331664,Excellent
5.362017666,5.856584117,0.377331664,Pass
3.85600905,3.965022677,0.377331664,Excellent
3.85600905,3.262468451,0.377331664,Pass
2.772987095,3.965022677,0.377331664,Pass
2.772987095,3.965022677,0.377331664,Pass
4.803946644,2.684398366,0.377331664,Good
5.362017666,5.856584117,0.377331664,Pass
5.362017666,5.856584117,0.377331664,Excellent
5.362017666,5.856584117,0.377331664,Excellent
3.85600905,3.262468451,0.377331664,Excellent
3.45468122,3.262468451,0.377331664,Pass
