Parameter1,Parameter2,Parameter3,Parameter4,Parameter5,Parameter6,Parameter7,Parameter8,Parameter9,Parameter10,Quality_label
0.001660121,0.591013168,147.6083726,38.18634497,0.000421253,0.000612033,2286.523413,0.035407171,0.593081227,1.010384969,2
1.601748949,0.015051685,0.035864443,51.13032624,0.000909187,0.002397012,2286.523413,0.035407171,0.593081227,1.010384969,3
0.098038764,69.23368456,0.08092026,0.11226532,0.000909187,0.00197229,2286.523413,0.035407171,0.593081227,1.010384969,3
18.18185974,0.047325071,0.018061277,1.098102095,0.000909187,0.002397012,2286.523413,0.035407171,0.593081227,1.010384969,3
0.012085348,0.008748659,0.005508504,524.3273958,0.000909187,0.002397012,2286.523413,0.035407171,0.593081227,1.010384969,3
0.004062021,14.55648307,0.786944931,0.010545003,0.000524811,0.001622824,2286.523413,0.035407171,0.593081227,1.010384969,1
0.438449218,1.232558862,2.882698503,0.610756936,1.600654212,0.464037172,0.600826895,17.8500214,0.051849508,0.010191934,1
48159.9174,0.002986741,14.86381255,0.063287291,1.434060443,0.314162296,0.600826895,17.8500214,0.051849508,0.010191934,1
1.456600828,52.38157831,20.6252828,366.0748306,1.434060443,0.258496524,0.600826895,17.8500214,0.051849508,0.010191934,2
0.000108558,4.784653655,31.91667163,20.6723877,1.284805512,0.175007232,0.600826895,17.8500214,0.051849508,0.010191934,1
12.46032336,75.94033719,0.051240926,0.710990045,1.600654212,0.685411649,0.600826895,17.8500214,0.051849508,0.010191934,2
0.778408827,9.256196571,74.33593499,2.98212341,1.600654212,0.685411649,0.600826895,17.8500214,0.051849508,0.010191934,1
0.000757851,0.022673385,199.6565815,3.761593299,1.600654212,0.685411649,0.600826895,17.8500214,0.051849508,0.010191934,0
87.02416863,0.077502272,228.0043906,0.732291837,1.786601059,0.833011192,0.600826895,17.8500214,0.051849508,0.010191934,2
2.850769644,1263.088796,5.224136842,33.25721796,1.600654212,0.464037172,0.600826895,17.8500214,0.051849508,0.010191934,1
0.002538588,4.619355482,38.40890102,0.526750198,2.225808096,1.230409133,0.600826895,17.8500214,77.59848817,0.052625471,1
0.234520554,16.31074551,2264.226344,375.6405822,1.284805512,3.965022677,0.600826895,17.8500214,77.59848817,0.052625471,3
13.29663283,0.015195613,476.8418065,1.292070006,2.225808096,1.230409133,0.600826895,17.8500214,77.59848817,0.052625471,3
0.220540441,262.1935928,4.283586535,1.539752546,3.45468122,1.230409133,0.600826895,17.8500214,6.783966878,0.377331664,0
0.204163626,5.166549651,0.299501005,0.051690713,3.85600905,5.856584117,0.600826895,17.8500214,6.783966878,0.377331664,0
35.59793701,0.412560671,0.062600934,51.42670094,3.85600905,5.856584117,0.600826895,17.8500214,6.783966878,0.377331664,0
1.349669848,0.005561291,73.36344503,0.606519316,5.362017666,3.965022677,0.600826895,17.8500214,6.783966878,0.377331664,1
0.029587956,1.853346918,1.437164389,1505.668106,5.984919397,2.684398366,0.600826895,17.8500214,6.783966878,0.377331664,0
41.99098554,0.241054626,81.85109043,0.03134104,4.303958845,2.684398366,0.600826895,17.8500214,6.783966878,0.377331664,2
0.318964175,0.000280997,0.001395807,0.000868602,5.362017666,7.117766557,0.600826895,17.8500214,6.783966878,0.377331664,0
0.126286663,0.145321509,0.022314482,0.145914473,5.362017666,7.117766557,0.600826895,17.8500214,6.783966878,0.377331664,2
0.184010883,2.146057198,2.399497309,1999.715246,3.095123009,1.495370817,0.600826895,17.8500214,6.783966878,0.377331664,0
0.055857791,0.022869718,1122.396003,0.001256164,3.095123009,1.495370817,0.600826895,17.8500214,6.783966878,0.377331664,1
0.004220206,0.019195212,2.047142454,0.003748698,3.095123009,1.81739051,0.600826895,17.8500214,6.783966878,0.377331664,0
12.62626383,4.368144508,0.21611664,1.851174365,3.095123009,2.208755332,0.600826895,17.8500214,6.783966878,0.377331664,0
3.009579759,5.555737795,2185.442652,149.7757311,3.45468122,2.684398366,0.600826895,17.8500214,6.783966878,0.377331664,2
0.038278498,2.260318251,227.3771352,1.826535903,3.45468122,2.684398366,0.600826895,17.8500214,6.783966878,0.377331664,0
0.842276275,0.009808963,0.427632985,0.262597598,3.45468122,4.818868004,0.600826895,17.8500214,6.783966878,0.377331664,0
56.2529294,8.458264855,4.904754117,0.086466261,3.45468122,3.262468451,0.600826895,17.8500214,6.783966878,0.377331664,1
1.539584211,0.015132964,0.016644875,0.294372916,3.45468122,4.818868004,0.600826895,17.8500214,6.783966878,0.377331664,0
0.013144204,1.54457065,7.315994559,13.94735166,5.362017666,5.856584117,0.600826895,17.8500214,6.783966878,0.377331664,0
29.07199207,0.909893322,0.047354155,0.14321124,3.45468122,1.81739051,0.600826895,17.8500214,6.783966878,0.377331664,2
3.165689834,0.000780899,55.28657944,0.546607911,3.45468122,1.81739051,0.600826895,17.8500214,6.783966878,0.377331664,2
0.056276445,0.136655586,5.463464515,8367.554243,3.45468122,1.495370817,0.600826895,17.8500214,6.783966878,0.377331664,0
